"decimalLongitude","decimalLatitude","species"
4501536.85830769,3705695.49246787,"Campanula latifolia"
4547839.8951465,3926771.82657243,"Campanula latifolia"
4544466.03731739,3934113.69917202,"Campanula latifolia"
4760500.42414747,4052939.94425102,"Campanula latifolia"
4575913.8869825,3639903.08954001,"Campanula latifolia"
4537801.18021268,3932922.64655227,"Campanula latifolia"
5136157.93436121,4438470.98243028,"Campanula latifolia"
4452978.16973958,4999778.54347378,"Campanula latifolia"
4298988.94198358,4018020.239848,"Campanula latifolia"
4365072.60441854,4063656.43783718,"Campanula latifolia"
4330853.63396098,4464666.98773207,"Campanula latifolia"
4398652.90369501,2533658.45885858,"Campanula latifolia"
4498400.78994963,4876990.41623062,"Campanula latifolia"
4162254.82096878,4190577.76790867,"Campanula latifolia"
4363659.52283691,4065504.44445982,"Campanula latifolia"
4300316.24017017,4061932.56354593,"Campanula latifolia"
4266443.96316161,4079849.28161603,"Campanula latifolia"
4378676.37946774,4092454.66532089,"Campanula latifolia"
3609941.39545856,3266229.21185745,"Campanula latifolia"
4375882.31320588,4542844.36183411,"Campanula latifolia"
4146567.30232966,4229198.12906483,"Campanula latifolia"
4337696.13045658,4079106.16507717,"Campanula latifolia"
4336961.46134743,4072115.57332133,"Campanula latifolia"
4332653.67795294,4084061.69636542,"Campanula latifolia"
4137511.827202,4222121.35505809,"Campanula latifolia"
4264546.02701328,4407487.58403115,"Campanula latifolia"
4364705.83757757,4105047.6542426,"Campanula latifolia"
4328397.48213977,4241208.07651421,"Campanula latifolia"
5096289.35185856,3709798.55052505,"Campanula latifolia"
4975902.15117202,4273367.14244088,"Campanula latifolia"
5042849.43669757,4338764.53394418,"Campanula latifolia"
4050022.58155941,2431329.71412837,"Campanula latifolia"
5221043.79614257,4669957.29992868,"Campanula latifolia"
5331308.30936057,3975814.6360045,"Campanula latifolia"
3568452.69414713,3603080.28915545,"Campanula latifolia"
3581724.72087235,3641329.74925558,"Campanula latifolia"
5095288.78496689,4237766.29911077,"Campanula latifolia"
3523816.46415518,3878924.17064732,"Campanula latifolia"
4694085.41878637,3085603.62935046,"Campanula latifolia"
4325716.4098685,3676622.80601142,"Campanula latifolia"
4099152.60389807,2771966.20422975,"Campanula latifolia"
3902727.42557517,3107441.40342135,"Campanula latifolia"
4829764.76182642,4563880.18571719,"Campanula latifolia"
4409164.63164208,3176152.7168169,"Campanula latifolia"
5083067.10417022,4918649.93119393,"Campanula latifolia"
3762315.12104066,2525987.46188881,"Campanula latifolia"
3991979.02457393,2482388.0372148,"Campanula latifolia"
5034358.19146014,4188998.26154411,"Campanula latifolia"
4636740.26139691,3730189.06952942,"Campanula latifolia"
3607165.79994956,3306282.83278588,"Campanula latifolia"
5135432.71957873,4439175.698123,"Campanula latifolia"
5262720.11538444,3658193.72598925,"Campanula latifolia"
3582224.00693177,3583041.29471068,"Campanula latifolia"
4907901.8228089,4490802.93629383,"Campanula latifolia"
4311888.30111342,3645142.99623025,"Campanula latifolia"
5172086.84326172,4678868.66421823,"Campanula latifolia"
4715111.68001208,3075136.5707884,"Campanula latifolia"
4525370.75660344,3927398.47504006,"Campanula latifolia"
4725799.57548958,3089742.84330451,"Campanula latifolia"
4725073.70037431,3287717.14346066,"Campanula latifolia"
3557484.79093724,3485536.21214108,"Campanula latifolia"
4907851.1646052,4493868.86916466,"Campanula latifolia"
3620467.49336203,3212496.09465257,"Campanula latifolia"
4241610.69933202,2657410.25417129,"Campanula latifolia"
4317444.07404284,3771321.04981103,"Campanula latifolia"
5158421.44164108,4218252.64561632,"Campanula latifolia"
4307360.53228746,3727709.23451775,"Campanula latifolia"
5297494.60265329,3656807.61489832,"Campanula latifolia"
5268159.94695233,3624609.9908428,"Campanula latifolia"
5211283.17291504,4749697.94491256,"Campanula latifolia"
4095332.90181871,2582545.73212051,"Campanula latifolia"
3509206.90528148,3498758.25070326,"Campanula latifolia"
5156643.75744822,4212146.96234765,"Campanula latifolia"
5054591.34831949,4212429.22844107,"Campanula latifolia"
5145382.46090321,4373985.28911956,"Campanula latifolia"
4241980.13560276,2656725.86721782,"Campanula latifolia"
5107463.72129812,4598063.07066843,"Campanula latifolia"
5324293.24200012,4372468.82263039,"Campanula latifolia"
5132348.54348749,4441547.21287824,"Campanula latifolia"
4326285.57534932,3670793.8434037,"Campanula latifolia"
5129316.5431276,4446271.05465828,"Campanula latifolia"
5162989.08768487,3630398.25765165,"Campanula latifolia"
5277897.11702417,4513571.45746612,"Campanula latifolia"
4354241.31030498,2702078.30723635,"Campanula latifolia"
4352596.78462725,3554108.97942891,"Campanula latifolia"
